Food,Glycemic Index
Spelled wheat,40
Pomelo,30
Tomatoes (fresh),30
Popcorn,55
Kidneys (braised),0
Yogurt,32
Spices (cinnamon),5
Whole Grain Wheat,45
Wheat flakes,45
Passion fruit, granadilla (fresh),30
Ravioli (from durum wheat),40
Crustaceans (lobster, crab, spiny lobster),5
Vegetable fat,0
Ratatouille,20
Rhubarb,15
Radish,15
Turnip (raw),30
Rye flour (medium grinding),50
Rye flakes,45
Basmati Rice,50
Unpeeled Basmati Rice,45
Wild rice (black),35
Brown rice,50
Red rice,55
Bamboo sprouts,20
Lentil sprouts,25
Fish (salmon, tuna, etc.),0
Salad (iceberg, leaf, arugula, etc.),15
Fat,0
Sausages,30
Sweet corn,48
Beetroot (fresh),30
Beetroot,15
Fried pork,0
Fat Pork,0
Grilled pork,0
Lean pork,0
Celery (fresh),15
Seeds (pumpkin),25
Chia Seeds (Dried),30
Dry cider,40
Corn syrup,15
Chicory Syrup,55
Scorzonera (Kozelec),30
Sweet pepper (red, green), paprika,15
Cream,0
Cream (18%),33
Cream (30%),0
Cream (10%),30
Butter (high fat),14
Plums (fresh),35
Sour cream,0
Red currant (fresh berry),25
Black currant (fresh berry),15
Soya cream,20
Soy sauce,20
Pineapple juice (sugar free),50
Grape juice (sugar free),55
Grapefruit juice (sugar free),45
Pear juice,50
Cranberry juice (sugar free),50
Tomato juice,35
Apple juice (sugar free),50
Orange juice,48
Apple juice,41
Salted cucumbers,15
Sorbet (sugar free),40
Sausages,28
Soybean,15
Spaghetti (well cooked),55
Whole Grain Spaghetti,40
Spaghetti al dente,45
Spaghetti bolognese,52
Asparagus,15
Stevia,0
String Beans (Fresh),30
Lentil soup puree,44
Soup with chicken and mushrooms,46
Surimi (minced fish in crab sticks),50
Sushi,55
Sushi, salmon,48
Cheese (Mozzarella, pressed cottage cheese, etc.),0
Tofu cheese,15
Chees Feta,30
Tagliatelle (well cooked),55
Tangerines, tangerines, satsuma (fresh),30
Taro,48
Tahin,40
Cottage cheese,30
Cottage cheese 9% fat,30
Low-fat cottage cheese,30
Curd,45
Veal,0
Boiled veal,0
Tempeh,15
Caraway,5
Mashed Tomato,35
Tomato sauce (natural, sugar free),35
Tomato soup,38
Tomatoes,30
Tomatoes (dried),35
Jerusalem artichoke (fresh),50
Tortilla, White Corn,49
Tofu, bean curd,15
Turnip, turnip (fresh),30
Dill (fresh),25
Vinegar,15
Urad bean (steamed),43
Roast duck,0
Duck,0
Falafel (from beans, fava),40
Azuki Beans,35
White beans,35
Green beans,30
Red beans,35
Fennel,15
Fettuccine,32
Physalis,15
Dried dates,40
Pistachios,15
Fructose,20
Foie gras, goose liver paste (canned),0
Bread (oatmeal),47
Buckwheat bread,50
Germinated bread,35
Wholemeal bread,40
Pumpernickel Bread,45
Pumpkin bread,40
Fruit bread,47
Horseradish,10
Hummus,25
Persimmon, persimmon eastern (fresh),50
Cauliflower (fresh),15
Braised Cauliflower,15
Whole Grain (Rye),34
Whole milk 3%,27
Chicory,15
Chicory (drink),40
Zucchini,15
Chickens,0
Chayote (Mexican cucumber), mashed from it,50
Cheddar,0
Sweet cherry,25
Blueberries,53
Prunes,40
Dark Chocolate (with 85% Cocoa Content),20
Garlic,30
Lentils (yellow),30
Lentils (green),25
Lentil soup,30
Chips, corn, salted,42
Chocolate,49
Chocolate (+ 70% cocoa),25
Dark chocolate,23
Spinach,15
Sorrel,15
Sherbet,50
Endive,15
Dried apples,35
An Apple,36
Applesauce (unsweetened),35
Apple cider (brut),40
Apple Juice (unsweetened),40
Goji berries,25
Egg,0
Barley flour,30
